Sector,Coordinates
Sector 1,"28.5176° N, 77.0454° E"
Sector 2,"28.5095° N, 77.0320° E"
Sector 3,
Sector 4,
Sector 5,
Sector 6,"28.4745° N, 77.0262° E"
Sector 7,
Sector 8,"28.4668° N, 77.0225° E"
Sector 9,
Sector 10,
Sector 11,"28.4531° N, 77.0202° E"
Sector 12,"28.4723° N, 77.0320° E"
Sector 13,
Sector 14,
Sector 15,
Sector 16,"28.4684° N, 77.0521° E"
Sector 17,
Sector 18,
Sector 19,"28.5040° N, 77.0748° E"
Sector 20,
Sector 21,
Sector 22,
Sector 23,
Sector 24,"28.4939° N, 77.1038° E"
Sector 25,
Sector 26,"28.4757° N, 77.1032° E"
Sector 27,
Sector 28,
Sector 29,"28.4669° N, 77.0663° E"
Sector 30,
Sector 31,
Sector 32,"28.4472° N, 77.0406° E"
Sector 33,
Sector 34,
Sector 35,
Sector 36,"28.4160° N, 76.9914° E"
Sector 37,"28.4375° N, 76.9999° E"
Sector 38,
Sector 39,"28.4434° N, 77.0515° E"
Sector 40,"28.4498° N, 77.0567° E"
Sector 41,
Sector 42,
Sector 43,
Sector 44,"28.4485° N, 77.0759° E"
Sector 45,
Sector 46,
Sector 47,
Sector 48,
Sector 49,"28.4121° N, 77.0480° E"
Sector 50,
Sector 51,"28.4320° N, 77.0686° E"
Sector 52,
Sector 53,
Sector 54,"28.4348° N, 77.1089° E"
Sector 55,
Sector 56,"28.4245° N, 77.0991° E"
Sector 57,
Sector 58,
Sector 59,"28.4051° N, 77.1097° E"
Sector 60,"28.4003° N, 77.0975° E"
Sector 61,
Sector 62,
Sector 63,
Sector 64,"28.3903° N, 77.0752° E"
Sector 65,"28.4030° N, 77.0690° E"
Sector 66,"28.3925° N, 77.0541° E"
Sector 67,"28.3859° N, 77.0608° E"
Sector 68,"28.3853° N, 77.0484° E"
Sector 69,"28.3966° N, 77.0341° E"
Sector 70,
Sector 71,"28.4104° N, 77.0281° E"
Sector 72,
Sector 73,
Sector 74,
Sector 75,
Sector 76,"28.3935° N, 76.9888° E"
Sector 77,
Sector 78,
Sector 79,"28.3624° N, 76.9787° E"
Sector 80,
Sector 81,"28.3867° N, 76.9485° E"
Sector 82,
Sector 83,
Sector 84,
Sector 85,
Sector 86,
Sector 87,"28.3936° N, 76.9312° E"
Sector 88,
Sector 89,"28.4253° N, 76.9439° E"
Sector 90,
Sector 91,
Sector 92,
Sector 93,
Sector 94,"28.4223° N, 76.9312° E"
Sector 95,
Sector 96,"28.3966° N, 76.8735° E"
Sector 97,"28.4086° N, 76.8793° E"
Sector 98,"28.4192° N, 76.8995° E"
Sector 99,
Sector 100,"28.4613° N, 76.9708° E"
Sector 101,"28.4672° N, 76.9801° E"
Sector 102,"28.4750° N, 76.9715° E"
Sector 103,
Sector 104,"28.4788° N, 76.9960° E"
Sector 105,
Sector 106,"28.5007° N, 77.0003° E"
Sector 107,
Sector 108,
Sector 109,
Sector 110,
Sector 111,
Sector 112,"28.5282° N, 77.0176° E"
Sector 113,"28.5287° N, 77.0233° E"
Sector 114,
Sector 115,"28.5385° N, 77.0061° E"
